Operacao,Ocupacao
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,9
11,8
12,7
13,6
14,5
15,4
16,3
17,2
18,1
19,0
20,1
21,2
22,3
23,4
24,5
25,6
26,7
27,8
28,9
29,10
30,9
31,8
32,7
33,6
34,5
35,4
36,3
37,2
38,1
39,2
40,1
41,2
42,1
43,2
44,1
45,2
46,1
47,2
48,1
49,2
50,1
51,2
52,1
53,2
54,3
55,4
56,5
57,6
58,7
59,8
60,9
61,10
62,9
63,8
64,7
65,6
66,5
67,4
68,3
69,2
70,1
71,0
72,1
73,2
74,3
75,4
76,5
77,6
78,7
79,8
80,9
81,10
82,9
83,8
84,7
85,6
86,5
87,4
88,3
89,2
90,1
91,2
92,3
93,4
94,5
95,6
96,7
97,8
98,9
99,8
100,7
101,6
102,5
103,4
104,3
105,2
106,1
107,0
108,1
109,2
110,3
111,4
112,5
113,6
114,7
115,8
116,9
117,10
118,9
119,8
120,7
121,6
122,5
123,4
124,3
125,4
126,3
127,4
128,3
129,4
130,3
131,2
132,3
133,2
134,1
135,2
136,1
137,2
138,1
139,2
140,1
141,2
142,1
143,2
144,3
145,4
146,5
147,6
148,7
149,8
150,9
151,10
152,9
153,8
154,7
155,6
156,5
157,4
158,3
159,2
160,1
161,0
162,1
163,2
164,3
165,4
166,5
167,6
168,7
169,8
170,9
171,8
172,9
173,8
174,7
175,8
176,7
177,6
178,7
179,6
180,5
181,6
182,5
183,4
184,5
185,4
186,3
187,4
188,3
189,2
190,3
191,2
192,1
193,2
194,1
195,2
196,3
197,4
198,5
199,6
200,7
201,8
202,9
203,8
204,9
205,8
206,9
207,8
208,7
209,8
210,7
211,6
212,7
213,6
214,5
215,6
216,5
217,4
218,5
219,4
220,3
221,4
222,3
223,2
224,3
225,2
226,1
227,2
228,1
229,2
230,1
231,2
232,3
233,2
234,3
235,2
236,1
237,0
238,1
239,2
240,3
241,2
242,1
243,2
244,1
245,2
246,3
247,4
248,5
249,6
250,7
251,8
252,9
253,10
254,9
255,10
256,9
257,8
258,7
259,6
260,5
261,6
262,5
263,4
264,5
265,4
266,3
267,4
268,3
269,2
270,3
271,2
272,1
273,2
274,1
275,2
276,1
277,2
278,3
279,4
280,5
281,6
282,5
283,4
284,3
285,4
286,3
287,2
288,1
289,2
290,1
291,2
292,1
293,2
294,3
295,4
296,5
297,6
298,7
299,8
300,9
301,10
302,9
303,8
304,7
305,6
306,7
307,6
308,7
309,6
310,7
311,6
312,5
313,4
314,5
315,4
316,3
317,4
318,3
319,2
320,3
321,2
322,1
323,2
324,1
325,2
326,1
327,2
328,3
329,4
330,5
331,6
332,7
333,6
334,7
335,6
336,7
337,8
338,7
339,8
340,7
341,8
342,7
343,6
344,5
345,6
346,5
347,6
348,5
349,4
350,3
351,2
352,1
353,0
354,1
355,2
356,1
357,2
358,3
359,4
360,5
361,6
362,7
363,8
364,9
365,10
366,9
367,8
368,7
369,6
370,5
371,4
372,3
373,2
374,1
375,0
376,1
377,2
378,1
379,2
380,3
381,4
382,5
383,6
384,7
385,8
386,9
387,10
388,9
389,8
390,7
391,6
392,5
393,4
394,3
395,2
396,1
397,0
398,1
399,2
400,1
401,2
402,3
403,4
404,5
405,6
406,7
407,8
408,9
409,10
410,9
411,8
412,7
413,6
414,5
415,4
416,3
417,2
418,1
419,0
420,1
421,2
422,1
423,0
424,1
425,2
426,3
427,4
428,5
429,6
430,7
431,8
432,9
433,10
434,9
435,8
436,7
437,6
438,5
439,4
440,3
441,2
442,1
443,0
444,1
445,2
446,1
447,2
448,3
449,4
450,5
451,6
452,7
453,8
454,9
455,10
456,9
457,8
458,7
459,6
460,5
461,4
462,3
463,2
464,1
465,0
466,1
467,2
468,3
469,4
470,5
471,6
472,7
473,8
474,9
475,10
476,9
477,8
478,7
479,6
480,5
481,4
482,3
483,2
484,1
485,0
486,1
487,2
488,3
489,4
490,5
491,6
492,7
493,8
494,9
495,10
496,9
497,8
498,7
499,6
500,5
501,4
502,3
503,2
504,1
505,0
506,1
507,2
508,3
509,4
510,3
511,4
512,3
513,4
514,3
515,2
516,3
517,2
518,1
519,2
520,1
521,2
522,1
523,2
524,1
525,2
526,1
527,2
528,3
529,4
530,5
531,6
532,7
533,8
534,7
535,8
536,7
537,8
538,7
539,8
540,7
541,8
542,7
543,6
544,7
545,6
546,5
547,6
548,5
549,4
550,5
551,4
552,3
553,4
554,3
555,2
556,3
557,2
558,1
559,2
560,1
561,2
562,1
563,2
564,1
565,2
566,3
567,4
568,5
569,6
570,7
571,6
572,7
573,8
574,9
575,10
576,9
577,8
578,9
579,10
580,9
581,8
582,7
583,8
584,7
585,8
586,7
587,6
588,5
589,4
590,3
591,2
592,1
593,2
594,3
595,2
596,3
597,2
598,3
599,2
600,1
601,2
602,1
603,2
604,1
605,2
606,3
607,4
608,5
609,4
610,5
611,4
612,5
613,4
614,5
615,4
616,3
617,2
618,1
619,2
620,1
621,2
622,3
623,4
624,5
625,4
626,5
627,4
628,5
629,4
630,3
631,4
632,3
633,4
634,3
635,2
636,3
637,2
638,1
639,2
640,1
641,2
642,1
643,0
644,1
645,2
646,3
647,4
648,5
649,6
650,5
651,4
652,3
653,2
654,1
655,2
656,3
657,4
658,5
659,6
660,7
661,8
662,9
663,10
664,9
665,8
666,7
667,6
668,5
669,4
670,3
671,2
672,1
673,0
674,1
675,2
676,3
677,4
678,5
679,6
680,7
681,8
682,9
683,10
684,9
685,8
686,7
687,6
688,5
689,4
690,3
691,2
692,3
693,2
694,1
695,2
696,1
697,2
698,3
699,4
700,3
701,4
702,3
703,4
704,3
705,2
706,3
707,2
708,1
709,2
710,1
711,2
712,3
713,4
714,5
715,6
716,7
717,6
718,7
719,6
720,5
721,4
722,3
723,2
724,3
725,2
726,1
727,2
728,1
729,2
730,1
731,2
732,1
733,2
734,3
735,4
736,5
737,6
738,7
739,8
740,7
741,6
742,7
743,6
744,5
745,6
746,5
747,4
748,5
749,4
750,3
751,4
752,3
753,2
754,3
755,2
756,1
757,2
758,1
759,2
760,1
761,2
762,1
763,2
764,1
765,2
766,1
767,2
768,1
769,2
770,1
771,0
772,1
773,0
774,1
775,0
776,1
777,0
778,1
779,0
780,1
781,0
782,1
783,0
784,1
785,2
786,1
787,0
788,1
789,2
790,3
791,4
792,3
793,4
794,3
795,2
796,1
797,0
798,1
799,2
800,1
801,2
802,1
803,2
804,1
805,2
806,1
807,2
808,1
809,2
810,3
811,2
812,3
813,4
814,5
815,6
816,5
817,6
818,7
819,8
820,9
821,10
822,9
823,8
824,9
825,8
826,9
827,8
828,7
829,8
830,7
831,6
832,7
833,6
834,5
835,6
836,5
837,4
838,5
839,4
840,3
841,4
842,3
843,2
844,3
845,2
846,1
847,2
848,1
849,2
850,1
851,2
852,3
853,2
854,3
855,4
856,5
857,6
858,5
859,4
860,3
861,2
862,1
863,2
864,1
865,2
866,3
867,4
868,5
869,6
870,5
871,6
872,5
873,4
874,5
875,4
876,3
877,4
878,3
879,2
880,3
881,2
882,1
883,2
884,1
885,2
886,1
887,2
888,1
889,2
890,3
891,4
892,5
893,6
894,7
895,8
896,9
897,10
898,9
899,8
900,7
901,6
902,5
903,4
904,5
905,4
906,3
907,4
908,3
909,2
910,3
911,2
912,1
913,2
914,1
915,2
916,1
917,2
918,1
919,2
920,1
921,2
922,1
923,2
924,1
925,2
926,1
927,2
928,1
929,2
930,1
931,2
932,3
933,4
934,5
935,6
936,7
937,8
938,9
939,10
940,9
941,8
942,7
943,6
944,5
945,4
946,3
947,2
948,1
949,0
950,1
951,2
952,3
953,4
954,5
955,6
956,7
957,8
958,9
959,10
960,9
961,8
